sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
243,Q,Drought,ABLA,13,2.38,10.5,0.1679,0.1438,0.3845,,0.3845,0.6962,0.241166332,0.206549842,0.552283826,0.758833668,34.261,0.044488094,770.1161649,
244,Q,Drought,ABLA,13,1.54,7.7,0.04,0.0371,0.0734,,0.0734,0.1505,0.265780731,0.246511628,0.487707641,0.734219269,6.875,0.018626503,369.0977344,
245,Q,Drought,ABLA,13,1.45,4.6,0.0343,0.0291,0.0884,,0.0884,0.1518,0.225955204,0.191699605,0.582345191,0.774044796,7.606,0.016512996,460.6068955,
246,Q,Control,PIEN,13,1.92,8.7,0.1178,0.1365,0.1881,0.05,0.2381,0.4924,0.239236393,0.277213647,0.483549959,0.760763607,20.871,0.028952918,720.8599864,
247,Q,Control,ABLA,13,1.71,5.1,0.0606,0.0635,0.0932,,0.0932,0.2173,0.278877128,0.292222734,0.428900138,0.721122872,8.805,0.022965828,383.395718,
248,Q,Control,ABLA,13,2.35,14.2,0.1326,0.1782,0.3913,,0.3913,0.7021,0.188861985,0.253809999,0.557328016,0.811138015,33.986,0.043373614,783.5639505,
249,Q,Control,ABLA,13,2.1,5.9,0.0839,0.0743,0.0905,,0.0905,0.2487,0.337354242,0.298753518,0.36389224,0.662645758,8.329,0.034636059,240.4719312,
250,Q,Control,ABLA,13,1.72,11.5,0.0682,0.0796,0.0929,,0.0929,0.2407,0.283340258,0.330702119,0.385957624,0.716659742,7.744,0.023235219,333.2871496,
251,Q,Control,ABLA,13,1,8.4,0.0135,0.0095,0.0118,,0.0118,0.0348,0.387931034,0.272988506,0.33908046,0.612068966,1.519,0.007853982,193.4050868,
252,Q,Control,ABLA,13,0.95,4.6,0.011,0.0131,0.0265,,0.0265,0.0506,0.217391304,0.258893281,0.523715415,0.782608696,2.872,0.007088218,405.1793875,
